Acer crataegifolium; Hawthorn-Leaved Maple; Height: 10m. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Acer distylum; ; Height: 15m. Hardiness: 6-9. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 6
Acer ginnala; Amur Maple; Height: 10m, growing fast. Hardiness: 3-8. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 3
Acer glabrum; Rock Maple; Height: 9m, growing slowly. Hardiness: 3-8. Light: semi-shade or full sun. Water preference: moist.; Rocky Mountain maple, Douglas maple, Greene's maple, New Mexico maple, Torrey maple; uncategorised; 3
Acer macrophyllum; Oregon Maple; Height: 30m, growing fast. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; Bigleaf maple, Oregon Maple; Food forest; 5
Acer mono; Maple; Height: 15m, growing slowly. Hardiness: 3-8. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 3
Acer negundo; Box Elder; Height: 21m, growing fast. Hardiness: 3-8. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 3
Acer oblongum; ; Height: 9m. Hardiness: 6-9. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 6
Acer palmatum; Japanese Maple; Height: 8m, growing slowly. Hardiness: 6-8. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 6
Acer pectinatum; Maple; Height: 10m, growing slowly. Hardiness: 3-6. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 3
Acer pensylvanicum; Moosewood; Height: 4.5m. Hardiness: 3-7. Light: full sun. Water preference: moist.; Striped maple, Moosewood, Pennsylvania Maple; uncategorised; 3
Acer platanoides; Norway Maple; Height: 21m, growing fast. Hardiness: 3-7. Light: semi-shade or full sun. Water preference: moist.; Harlequin Maple; uncategorised; 3
Acer pseudoplatanus; Sycamore; Height: 30m, growing fast. Hardiness: 4-7. Light: semi-shade or full sun. Water preference: moist.; Great Maple, Scottish Maple, Planetree Maple; uncategorised; 4
Acer rubrum; Red Maple; Height: 30m, growing fast. Hardiness: 4-10. Light: semi-shade or full sun. Water preference: moist.; Drummond's maple, Swamp Maple; Food forest; 4
Acer saccharinum; Silver Maple; Height: 30m, growing fast. Hardiness: 3-9. Light: semi-shade or full sun. Water preference: moist.; River Maple, Soft Maple; Food forest; 3
Acer saccharum; Sugar Maple; Height: 30m, growing slowly. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; Florida Maple, Hard Maple, Rock Maple; Food forest; 4
Acer saccharum grandidentatum; Big-Tooth Maple; Height: 12m. Hardiness: 5-8. Light: semi-shade or full sun. Water preference: moist.; Canyon Maple, Rocky Mountain Sugar Maple; Food forest; 5
Acer saccharum nigrum; Black Maple; Height: 25m, growing slowly. Hardiness: 4-6. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 4
Acer spicatum; Mountain Maple; Height: 10m, growing slowly. Hardiness: 3-6. Light: full sun. Water preference: moist.; ; uncategorised; 3
Acer sterculiaceum; ; Height: 6m. Hardiness: 7-10. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 7
Acer tataricum; Tatarian Maple; Height: 9m, growing at a medium rate. Hardiness: 3-7. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 3
Acer truncatum; Shantung Maple; Height: 8m, growing slowly. Hardiness: 3-8. Light: semi-shade or full sun. Water preference: moist.; Purpleblow Maple; uncategorised; 3
Acrocarpus fraxinifolius; Pink Cedar; Height: 30m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: moist.; Shingle Tree; uncategorised; 10
Acrocomia aculeata; Coyoli Palm. Gru-Gru Palm; Height: 15m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; Macaw palm; Food forest; 10
Acrotriche serrulata; Honeypots; Height: 0.3m. Hardiness: 0-0. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 0
Actinidia arguta; Tara Vine; Height: 15m. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 4
Actinidia callosa; ; Height: 9m. Hardiness: 6-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 6
Actinidia callosa henryi; ; Height: 7m. Hardiness: 7-10. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 7
Actinidia chinensis; Kiwi; Height: 7.5m. Hardiness: 6-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 6
Actinidia coriacea; ; Height: 8m. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 5
Actinidia deliciosa; Kiwi Fruit; Height: 9m, growing at a medium rate. Hardiness: 6-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 6
Actinidia kolomikta; Kiwi; Height: 10m, growing at a medium rate. Hardiness: 3-8. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 3
Actinidia lanceolata; ; Height: 20m. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 5
Actinidia melanandra; Red Kiwi; Height: 7m. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 5
Actinidia polygama; Silver Vine; Height: 6m. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 4
Actinidia purpurea; Purple hardy kiwi; Height: 10m. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 5
Actinidia strigosa; ; Height: 0m. Hardiness: 0-0. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 0
Adansonia digitata; Baobab; Height: 20m, growing slowly. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; Judas Fruit, Monkey Bread Tree; Food forest; 10
